{'_id': ObjectId('5bd7cf7abc877a065acc3ebe'), 'city': '珠海', 'date': '2014-01-05', 'AQI': '152', 'grade': '中度污染', 'PM25': '116', 'PM10': '167', 'SO2': '29', 'CO': '1.3', 'NO2': '75', 'O3_8h': '118'}
{'_id': ObjectId('5bd7cf7bbc877a065acc459f'), 'city': '保定', 'date': '2014-01-05', 'AQI': '229', 'grade': '重度污染', 'PM25': '179', 'PM10': '322', 'SO2': '121', 'CO': '3.4', 'NO2': '114', 'O3_8h': '22'}
{'_id': ObjectId('5bd7cf7cbc877a065acc4c77'), 'city': '柳州', 'date': '2014-01-05', 'AQI': '215', 'grade': '重度污染', 'PM25': '165', 'PM10': '236', 'SO2': '65', 'CO': '1.6', 'NO2': '83', 'O3_8h': '130'}
{'_id': ObjectId('5bd7cf7ebc877a065acc5358'), 'city': '台州', 'date': '2014-01-05', 'AQI': '242', 'grade': '重度污染', 'PM25': '192', 'PM10': '281', 'SO2': '44', 'CO': '1.9', 'NO2': '64', 'O3_8h': '82'}
{'_id': ObjectId('5bd7cf7fbc877a065acc5fae'), 'city': '江门', 'date': '2014-01-05', 'AQI': '159', 'grade': '中度污染', 'PM25': '121', 'PM10': '185', 'SO2': '60', 'CO': '1.9', 'NO2': '114', 'O3_8h': '107'}
{'_id': ObjectId('5bd7cf81bc877a065acc668f'), 'city': '惠州', 'date': '2014-01-05', 'AQI': '128', 'grade': '轻度污染', 'PM25': '98', 'PM10': '139', 'SO2': '38', 'CO': '1.1', 'NO2': '42', 'O3_8h': '171'}
{'_id': ObjectId('5bd7cf82bc877a065acc6d70'), 'city': '常州', 'date': '2014-01-05', 'AQI': '163', 'grade': '中度污染', 'PM25': '124', 'PM10': '181', 'SO2': '71', 'CO': '1.7', 'NO2': '64', 'O3_8h': '47'}
{'_id': ObjectId('5bd7cf83bc877a065acc7451'), 'city': '嘉兴', 'date': '2014-01-05', 'AQI': '179', 'grade': '中度污染', 'PM25': '135', 'PM10': '195', 'SO2': '59', 'CO': '1.9', 'NO2': '85', 'O3_8h': '50'}
{'_id': ObjectId('5bd7cf85bc877a065acc80a7'), 'city': '聊城', 'date': '2014-01-05', 'AQI': '232', 'grade': '重度污染', 'PM25': '182', 'PM10': '278', 'SO2': '93', 'CO': '2.6', 'NO2': '81', 'O3_8h': '13'}
{'_id': ObjectId('5bd7cf86bc877a065acc8788'), 'city': '佛山', 'date': '2014-01-05', 'AQI': '155', 'grade': '中度污染', 'PM25': '119', 'PM10': '181', 'SO2': '65', 'CO': '1.7', 'NO2': '102', 'O3_8h': '108'}
{'_id': ObjectId('5bd7cf87bc877a065acc8e69'), 'city': '南宁', 'date': '2014-01-05', 'AQI': '203', 'grade': '重度污染', 'PM25': '153', 'PM10': '217', 'SO2': '44', 'CO': '1.6', 'NO2': '76', 'O3_8h': '135'}
{'_id': ObjectId('5bd7cf88bc877a065acc954a'), 'city': '合肥', 'date': '2014-01-05', 'AQI': '246', 'grade': '重度污染', 'PM25': '196', 'PM10': '227', 'SO2': '56', 'CO': '2.4', 'NO2': '56', 'O3_8h': '31'}
{'_id': ObjectId('5bd7cf89bc877a065acc9c2b'), 'city': '宿迁', 'date': '2014-01-05', 'AQI': '145', 'grade': '轻度污染', 'PM25': '111', 'PM10': '180', 'SO2': '49', 'CO': '2.0', 'NO2': '75', 'O3_8h': '25'}
{'_id': ObjectId('5bd7cf8cbc877a065accadf6'), 'city': '长沙', 'date': '2014-01-05', 'AQI': '158', 'grade': '中度污染', 'PM25': '121', 'PM10': '142', 'SO2': '50', 'CO': '1.6', 'NO2': '87', 'O3_8h': '65'}
