('日照', [80.0, 122.0, 54.333333333333336, 1.2333333333333334, 47.333333333333336, 49.666666666666664])
('汕尾', [54.0, 74.0, 7.666666666666667, 1.1666666666666667, 20.0, 87.0])
('清远', [63.333333333333336, 70.33333333333333, 38.0, 1.9000000000000001, 38.333333333333336, 64.66666666666667])
('济宁', [126.66666666666667, 201.66666666666666, 140.0, 1.7333333333333334, 59.0, 29.333333333333332])
('德阳', [73.33333333333333, 100.33333333333333, 23.0, 1.2, 57.0, 71.66666666666667])
('舟山', [25.333333333333332, 49.333333333333336, 14.666666666666666, 0.5, 21.333333333333332, 86.33333333333333])
('邢台', [204.0, 332.0, 186.0, 2.6, 90.33333333333333, 19.666666666666668])
('潍坊', [93.33333333333333, 150.66666666666666, 93.66666666666667, 1.5, 39.333333333333336, 53.333333333333336])
('肇庆', [96.33333333333333, 112.66666666666667, 33.666666666666664, 1.5, 48.666666666666664, 48.0])
('衢州', [60.0, 75.66666666666667, 22.0, 0.8333333333333334, 40.333333333333336, 38.0])
('芜湖', [63.0, 89.66666666666667, 50.666666666666664, 0.5666666666666668, 31.666666666666668, 51.333333333333336])
('信阳', [143.33333333333334, 203.66666666666666, 57.333333333333336, 0.7333333333333334, 21.333333333333332, 38.333333333333336])
('绵阳', [70.0, 96.66666666666667, 20.0, 0.8333333333333334, 44.333333333333336, 63.333333333333336])
('自贡', [84.33333333333333, 109.33333333333333, 30.666666666666668, 0.6999999999999998, 26.333333333333332, 22.666666666666668])
('湖州', [54.0, 71.0, 31.0, 0.9, 44.333333333333336, 58.0])
('天津', [78.0, 130.66666666666666, 96.33333333333333, 1.7, 62.333333333333336, 33.0])
('杭州', [52.0, 72.66666666666667, 30.333333333333332, 0.8666666666666667, 47.666666666666664, 42.0])
('大连', [41.0, 74.33333333333333, 63.666666666666664, 0.8000000000000002, 37.333333333333336, 38.666666666666664])
('宁波', [41.0, 64.0, 17.666666666666668, 1.1333333333333335, 44.666666666666664, 55.0])
('深圳', [52.0, 75.66666666666667, 10.333333333333334, 1.5333333333333332, 40.666666666666664, 62.0])
('福州', [31.666666666666668, 52.666666666666664, 11.666666666666666, 0.7666666666666666, 39.333333333333336, 53.0])
('广州', [69.33333333333333, 90.0, 15.0, 1.5999999999999999, 55.0, 45.666666666666664])
('重庆', [83.66666666666667, 106.33333333333333, 38.333333333333336, 1.2666666666666666, 36.0, 10.0])
('温州', [42.666666666666664, 72.33333333333333, 18.666666666666668, 1.1333333333333333, 44.666666666666664, 47.0])
('昆明', [34.333333333333336, 73.66666666666667, 23.666666666666668, 1.0666666666666667, 41.666666666666664, 64.33333333333333])
('济南', [111.0, 187.0, 126.0, 1.6666666666666667, 58.666666666666664, 34.0])
('成都', [84.33333333333333, 129.0, 25.666666666666668, 0.9666666666666667, 56.333333333333336, 49.666666666666664])
('苏州', [55.0, 62.333333333333336, 19.666666666666668, 0.7666666666666666, 51.666666666666664, 52.666666666666664])
('金华', [65.33333333333333, 57.666666666666664, 36.666666666666664, 0.9, 44.0, 36.666666666666664])
('廊坊', [88.66666666666667, 129.66666666666666, 67.66666666666667, 1.2666666666666666, 61.666666666666664, 43.0])
('沈阳', [62.0, 107.0, 125.0, 1.1333333333333335, 54.666666666666664, 40.666666666666664])
('保定', [154.66666666666666, 246.0, 103.66666666666667, 2.9, 78.0, 39.0])
('柳州', [91.0, 106.33333333333333, 39.0, 1.5666666666666667, 33.333333333333336, 71.66666666666667])
('台州', [37.0, 57.666666666666664, 22.0, 1.1333333333333333, 30.666666666666668, 60.333333333333336])
('江门', [67.0, 102.0, 32.666666666666664, 1.6666666666666667, 70.33333333333333, 37.333333333333336])
('常州', [52.333333333333336, 77.0, 32.333333333333336, 1.0999999999999999, 35.666666666666664, 53.666666666666664])
('聊城', [134.33333333333334, 169.66666666666666, 93.0, 2.6999999999999997, 63.0, 17.666666666666668])
('佛山', [68.66666666666667, 108.0, 33.333333333333336, 1.7666666666666666, 61.333333333333336, 40.333333333333336])
('宿迁', [57.0, 91.0, 36.666666666666664, 1.6333333333333335, 32.333333333333336, 45.333333333333336])
('长沙', [140.0, 54.0, 36.5, 1.7999999999999998, 64.5, 31.0])
('泰州', [55.0, 78.66666666666667, 28.333333333333332, 1.8, 14.666666666666666, 47.666666666666664])
('丽水', [47.333333333333336, 62.333333333333336, 21.666666666666668, 0.7666666666666667, 38.666666666666664, 54.333333333333336])
('贵阳', [76.66666666666667, 78.33333333333333, 42.666666666666664, 1.2, 34.0, 49.666666666666664])
('徐州', [83.33333333333333, 115.0, 43.0, 1.2, 46.0, 38.0])
('株洲', [126.33333333333333, 149.0, 38.666666666666664, 1.2333333333333334, 40.0, 26.333333333333332])
('濮阳', [116.33333333333333, 162.66666666666666, 64.66666666666667, 1.9333333333333333, 60.0, 31.0])
('淮安', [69.33333333333333, 75.66666666666667, 30.666666666666668, 1.3, 27.0, 77.33333333333333])
('扬州', [58.666666666666664, 87.33333333333333, 33.0, 0.7000000000000001, 31.0, 42.0])
('镇江', [53.0, 71.0, 21.666666666666668, 1.0, 41.666666666666664, 47.333333333333336])
('石家庄', [165.0, 295.6666666666667, 167.66666666666666, 2.6333333333333333, 72.33333333333333, 25.333333333333332])
('湛江', [35.333333333333336, 41.666666666666664, 21.0, 1.3333333333333333, 21.0, 98.0])
('三亚', [34.0, 56.666666666666664, 2.6666666666666665, 0.7333333333333334, 13.0, 90.33333333333333])
('威海', [27.0, 50.333333333333336, 31.666666666666668, 0.6333333333333334, 21.666666666666668, 69.0])
('葫芦岛', [55.666666666666664, 92.0, 63.333333333333336, 2.566666666666667, 38.333333333333336, 60.0])
('张家口', [36.666666666666664, 89.0, 71.66666666666667, 0.9666666666666668, 24.333333333333332, 51.0])
('东营', [76.33333333333333, 132.0, 118.0, 1.2666666666666666, 59.0, 42.666666666666664])
('锦州', [69.0, 97.33333333333333, 83.33333333333333, 1.4333333333333333, 40.333333333333336, 53.0])
('抚顺', [62.333333333333336, 106.33333333333333, 60.0, 1.4333333333333333, 38.666666666666664, 41.333333333333336])
('宜昌', [168.0, 203.66666666666666, 66.33333333333333, 1.9000000000000001, 33.333333333333336, 26.333333333333332])
('宝鸡', [78.0, 126.33333333333333, 61.666666666666664, 2.2666666666666666, 46.333333333333336, 43.0])
('长治', [85.33333333333333, 145.66666666666666, 35.0, 2.3000000000000003, 42.333333333333336, 73.33333333333333])
('烟台', [43.0, 59.0, 45.666666666666664, 0.9, 40.0, 53.666666666666664])
('洛阳', [115.33333333333333, 172.0, 54.333333333333336, 3.266666666666666, 55.333333333333336, 35.333333333333336])
('营口', [24.0, 45.666666666666664, 64.66666666666667, 1.1, 39.333333333333336, 50.0])
('阳江', [61.0, 93.0, 16.666666666666668, 1.7999999999999998, 41.0, 59.333333333333336])
